النوع,"رقم المدين","اسم المدين","نوع المدين","رقم المخصوم منه","اسم المخصوم منه","نوع المخصوم منه","المبلغ (كوينز)","المبلغ (دولار)",العملية,السبب
استرداد_يوزر,301,"ابو جبريل",يوزر,6,"وكالة صقر للشحن",وكالة,1787369,59.579,"خصم كوينز وكالة + حذف شحنة","يوزر #301 شحن وكالة #6 بكوينز مخالفة"
استرداد_يوزر,1245,"اوســ亗ــڪارA‿ˣ ✌︎",يوزر,456,"قلب اوســ亗ــڪارA‿ˣ ✌︎",يوزر,791251,26.375,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #349 أرسل لـ #456, تتبع من المدين #1245"
استرداد_يوزر,1245,"اوســ亗ــڪارA‿ˣ ✌︎",يوزر,1245,"اوســ亗ــڪارA‿ˣ ✌︎",يوزر,101,0.0034,"خصم رصيد + حذف شحنة","يوزر #1245 شحن يوزر #1245, استرداد من رصيد الماس"
استرداد_يوزر,1245,"اوســ亗ــڪارA‿ˣ ✌︎",يوزر,1245,"اوســ亗ــڪارA‿ˣ ✌︎",يوزر,786818,26.2273,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #1245 أرسل لـ #1245, تتبع من المدين #1245"
استرداد_يوزر,1245,"اوســ亗ــڪارA‿ˣ ✌︎",يوزر,456,"قلب اوســ亗ــڪارA‿ˣ ✌︎",يوزر,651,0.0217,"خصم رصيد + حذف شحنة","يوزر #1245 شحن يوزر #456, استرداد من رصيد الماس"
استرداد_يوزر,1245,"اوســ亗ــڪارA‿ˣ ✌︎",يوزر,456,"قلب اوســ亗ــڪارA‿ˣ ✌︎",يوزر,496268,16.5423,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #456 أرسل لـ #456, تتبع من المدين #1245"
استرداد_يوزر,1245,"اوســ亗ــڪارA‿ˣ ✌︎",يوزر,114,"وكالة ابن سوريا",وكالة,1500000,50,"خصم كوينز وكالة + حذف شحنة","يوزر #1245 شحن وكالة #114 بكوينز مخالفة"
استرداد_يوزر,1245,"اوســ亗ــڪارA‿ˣ ✌︎",يوزر,6,"وكالة صقر للشحن",وكالة,180000,6,"خصم كوينز وكالة + حذف شحنة","يوزر #1245 شحن وكالة #6 بكوينز مخالفة"
استرداد_يوزر,726,ﾶのん👑ﾑﾶ乇り,يوزر,726,ﾶのん👑ﾑﾶ乇り,يوزر,1931,0.0644,"خصم رصيد + حذف شحنة","يوزر #726 شحن يوزر #726, استرداد من رصيد الماس"
استرداد_يوزر,726,ﾶのん👑ﾑﾶ乇り,يوزر,726,ﾶのん👑ﾑﾶ乇り,يوزر,179684,5.9895,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #726 أرسل لـ #726, تتبع من المدين #726"
استرداد_يوزر,726,ﾶのん👑ﾑﾶ乇り,يوزر,871,ツعٍفَآشُيَツ,يوزر,3,0.0001,"خصم رصيد + حذف شحنة","يوزر #726 شحن يوزر #871, استرداد من رصيد الماس"
استرداد_يوزر,726,ﾶのん👑ﾑﾶ乇り,يوزر,871,ツعٍفَآشُيَツ,يوزر,390973,13.0324,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #871 أرسل لـ #871, تتبع من المدين #726"
استرداد_يوزر,726,ﾶのん👑ﾑﾶ乇り,يوزر,6,"وكالة صقر للشحن",وكالة,8970000,299,"خصم كوينز وكالة + حذف شحنة","يوزر #726 شحن وكالة #6 بكوينز مخالفة"
استرداد_يوزر,726,ﾶのん👑ﾑﾶ乇り,يوزر,6,"وكالة صقر للشحن",وكالة,390000,13,"خصم كوينز وكالة + حذف شحنة","يوزر #726 شحن وكالة #6 بكوينز مخالفة"
استرداد_يوزر,726,ﾶのん👑ﾑﾶ乇り,يوزر,6,"وكالة صقر للشحن",وكالة,390000,13,"خصم كوينز وكالة + حذف شحنة","يوزر #726 شحن وكالة #6 بكوينز مخالفة"
استرداد_يوزر,1111,𓄂Ꭷ𝐙𝐙𝐘,يوزر,1111,𓄂Ꭷ𝐙𝐙𝐘,يوزر,15,0.0005,"خصم رصيد + حذف شحنة","يوزر #1111 شحن يوزر #1111, استرداد من رصيد الماس"
استرداد_يوزر,1111,𓄂Ꭷ𝐙𝐙𝐘,يوزر,1111,𓄂Ꭷ𝐙𝐙𝐘,يوزر,2479461,82.6487,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #1111 أرسل لـ #1111, تتبع من المدين #1111"
استرداد_يوزر,1111,𓄂Ꭷ𝐙𝐙𝐘,يوزر,164,"وكالة العز",وكالة,3000000,100,"خصم كوينز وكالة + حذف شحنة","يوزر #1111 شحن وكالة #164 بكوينز مخالفة"
استرداد_يوزر,1111,𓄂Ꭷ𝐙𝐙𝐘,يوزر,164,"وكالة العز",وكالة,1750524,58.3508,"خصم كوينز وكالة + حذف شحنة","يوزر #1111 شحن وكالة #164 بكوينز مخالفة"
استرداد_يوزر,2614,"꧁☬ R𝘢mz𝘪 ☬꧂",يوزر,2614,"꧁☬ R𝘢mz𝘪 ☬꧂",يوزر,6462689,215.423,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #2614 أرسل لـ #2614, تتبع من المدين #2614"
استرداد_يوزر,84,"خدمه العملاء",يوزر,84,"خدمه العملاء",يوزر,6,0.0002,"خصم رصيد + حذف شحنة","يوزر #84 شحن يوزر #84, استرداد من رصيد الماس"
استرداد_يوزر,84,"خدمه العملاء",يوزر,84,"خدمه العملاء",يوزر,6144990,204.833,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #84 أرسل لـ #84, تتبع من المدين #84"
استرداد_يوزر,478,"جني حافي",يوزر,478,"جني حافي",يوزر,3,0.0001,"خصم رصيد + حذف شحنة","يوزر #478 شحن يوزر #478, استرداد من رصيد الماس"
استرداد_يوزر,478,"جني حافي",يوزر,478,"جني حافي",يوزر,1416740,47.2247,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #478 أرسل لـ #478, تتبع من المدين #478"
استرداد_يوزر,478,"جني حافي",يوزر,119,شـــــــامخ,يوزر,3,0.0001,"خصم رصيد + حذف شحنة","يوزر #478 شحن يوزر #119, استرداد من رصيد الماس"
استرداد_يوزر,478,"جني حافي",يوزر,119,شـــــــامخ,يوزر,60155,2.0052,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #119 أرسل لـ #119, تتبع من المدين #478"
استرداد_يوزر,478,"جني حافي",يوزر,160,طـ⃪ـيــف🅐ᴅᴍɪɴ𓆩s𓆪,يوزر,90000,3,"خصم رصيد + حذف شحنة","يوزر #478 شحن يوزر #160, استرداد من رصيد الماس"
استرداد_يوزر,478,"جني حافي",يوزر,160,طـ⃪ـيــف🅐ᴅᴍɪɴ𓆩s𓆪,يوزر,10112,0.3371,"خصم رصيد + حذف شحنة","يوزر #478 شحن يوزر #160, استرداد من رصيد الماس"
استرداد_يوزر,478,"جني حافي",يوزر,160,طـ⃪ـيــف🅐ᴅᴍɪɴ𓆩s𓆪,يوزر,115543,3.8514,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #160 أرسل لـ #160, تتبع من المدين #478"
استرداد_يوزر,478,"جني حافي",يوزر,1183,ღمہشہأكہسღ,يوزر,7271,0.2424,"خصم رصيد + حذف شحنة","يوزر #478 شحن يوزر #1183, استرداد من رصيد الماس"
استرداد_يوزر,478,"جني حافي",يوزر,1183,ღمہشہأكہسღ,يوزر,413370,13.779,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #1183 أرسل لـ #1183, تتبع من المدين #478"
استرداد_يوزر,478,"جني حافي",يوزر,468,يَمًآنِيَهّ,يوزر,3,0.0001,"خصم رصيد + حذف شحنة","يوزر #478 شحن يوزر #468, استرداد من رصيد الماس"
استرداد_يوزر,478,"جني حافي",يوزر,468,يَمًآنِيَهّ,يوزر,93798,3.1266,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #468 أرسل لـ #468, تتبع من المدين #478"
استرداد_يوزر,478,"جني حافي",يوزر,1402,"ماجبرتك ا||ᯓ¹⁹🚸𝒇𝒍𝒂",يوزر,12938,0.4313,"خصم رصيد + حذف شحنة","يوزر #478 شحن يوزر #1402, استرداد من رصيد الماس"
استرداد_يوزر,478,"جني حافي",يوزر,1402,"ماجبرتك ا||ᯓ¹⁹🚸𝒇𝒍𝒂",يوزر,372153,12.4051,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #1402 أرسل لـ #1402, تتبع من المدين #478"
استرداد_يوزر,478,"جني حافي",يوزر,948,"مـಿـجنونة تعز G~",يوزر,9,0.0003,"خصم رصيد + حذف شحنة","يوزر #478 شحن يوزر #948, استرداد من رصيد الماس"
استرداد_يوزر,478,"جني حافي",يوزر,948,"مـಿـجنونة تعز G~",يوزر,96976,3.2325,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #948 أرسل لـ #948, تتبع من المدين #478"
استرداد_يوزر,1072,999,يوزر,1072,999,يوزر,24987,0.8329,"خصم رصيد + حذف شحنة","يوزر #1072 شحن يوزر #1072, استرداد من رصيد الماس"
استرداد_يوزر,1072,999,يوزر,1073,999,يوزر,3300002,110.0001,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #1072 أرسل لـ #1073, تتبع من المدين #1072"
استرداد_يوزر,1072,999,يوزر,6,"وكالة صقر للشحن",وكالة,390000,13,"خصم كوينز وكالة + حذف شحنة","يوزر #1072 شحن وكالة #6 بكوينز مخالفة"
استرداد_يوزر,119,شـــــــامخ,يوزر,119,شـــــــامخ,يوزر,1777648,59.2549,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #119 أرسل لـ #119, تتبع من المدين #119"
استرداد_يوزر,119,شـــــــامخ,يوزر,234,آلهنوف,يوزر,170,0.0057,"خصم رصيد + حذف شحنة","يوزر #119 شحن يوزر #234, استرداد من رصيد الماس"
استرداد_يوزر,119,شـــــــامخ,يوزر,234,آلهنوف,يوزر,59967,1.9989,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #234 أرسل لـ #234, تتبع من المدين #119"
استرداد_يوزر,119,شـــــــامخ,يوزر,118,شامخ,يوزر,37,0.0012,"خصم رصيد + حذف شحنة","يوزر #119 شحن يوزر #118, استرداد من رصيد الماس"
استرداد_يوزر,119,شـــــــامخ,يوزر,119,شـــــــامخ,يوزر,200403,6.6801,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #118 أرسل لـ #119, تتبع من المدين #119"
استرداد_يوزر,119,شـــــــامخ,يوزر,23,"برق الشمال",يوزر,2,0.0001,"خصم رصيد + حذف شحنة","يوزر #119 شحن يوزر #23, استرداد من رصيد الماس"
استرداد_يوزر,119,شـــــــامخ,يوزر,23,"برق الشمال",يوزر,130852,4.3617,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #23 أرسل لـ #23, تتبع من المدين #119"
استرداد_يوزر,119,شـــــــامخ,يوزر,52,🧚‍♂️𝄟⑅⃝т̈ɑ̈l̈𝄟⑅⃝l̈̈eӥ🧚‍♂️,يوزر,364567,12.1522,"خصم رصيد + حذف شحنة","يوزر #119 شحن يوزر #52, استرداد من رصيد الماس"
استرداد_يوزر,119,شـــــــامخ,يوزر,52,🧚‍♂️𝄟⑅⃝т̈ɑ̈l̈𝄟⑅⃝l̈̈eӥ🧚‍♂️,يوزر,243219,8.1073,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #52 أرسل لـ #52, تتبع من المدين #119"
استرداد_يوزر,119,شـــــــامخ,يوزر,116,"علي علي",يوزر,133238,4.4413,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #116 أرسل لـ #116, تتبع من المدين #119"
استرداد_يوزر,1012,المجنون,يوزر,1012,المجنون,يوزر,155846,5.1949,"خصم رصيد + حذف شحنة","يوزر #1012 شحن يوزر #1012, استرداد من رصيد الماس"
استرداد_يوزر,1012,المجنون,يوزر,1012,المجنون,يوزر,447192,14.9064,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #1012 أرسل لـ #1012, تتبع من المدين #1012"
استرداد_يوزر,1012,المجنون,يوزر,348,"الواء الأخضر",يوزر,2,0.0001,"خصم رصيد + حذف شحنة","يوزر #1012 شحن يوزر #348, استرداد من رصيد الماس"
استرداد_يوزر,1012,المجنون,يوزر,348,"الواء الأخضر",يوزر,2492488,83.0829,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #348 أرسل لـ #348, تتبع من المدين #1012"
استرداد_يوزر,1012,المجنون,يوزر,1397,"The lovesick one",يوزر,5,0.0002,"خصم رصيد + حذف شحنة","يوزر #1012 شحن يوزر #1397, استرداد من رصيد الماس"
استرداد_يوزر,1012,المجنون,يوزر,1012,المجنون,يوزر,200090,6.6697,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #1397 أرسل لـ #1012, تتبع من المدين #1012"
استرداد_يوزر,1085,حر,يوزر,456,"قلب اوســ亗ــڪارA‿ˣ ✌︎",يوزر,900000,30,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #349 أرسل لـ #456, تتبع من المدين #1085"
استرداد_يوزر,1085,حر,يوزر,1245,"اوســ亗ــڪارA‿ˣ ✌︎",يوزر,1233120,41.104,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #1245 أرسل لـ #1245, تتبع من المدين #1085"
استرداد_يوزر,1085,حر,يوزر,1085,حر,يوزر,425,0.0142,"خصم رصيد + حذف شحنة","يوزر #1085 شحن يوزر #1085, استرداد من رصيد الماس"
استرداد_يوزر,1085,حر,يوزر,456,"قلب اوســ亗ــڪارA‿ˣ ✌︎",يوزر,405216,13.5072,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #1085 أرسل لـ #456, تتبع من المدين #1085"
استرداد_يوزر,1250,‏♡⇣ࡎߺݏࡉܦ࠭ߺܘ߳⇣؍,يوزر,1250,‏♡⇣ࡎߺݏࡉܦ࠭ߺܘ߳⇣؍,يوزر,8619,0.2873,"خصم رصيد + حذف شحنة","يوزر #1250 شحن يوزر #1250, استرداد من رصيد الماس"
استرداد_يوزر,1250,‏♡⇣ࡎߺݏࡉܦ࠭ߺܘ߳⇣؍,يوزر,1250,‏♡⇣ࡎߺݏࡉܦ࠭ߺܘ߳⇣؍,يوزر,2416175,80.5392,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #1250 أرسل لـ #1250, تتبع من المدين #1250"
استرداد_يوزر,1250,‏♡⇣ࡎߺݏࡉܦ࠭ߺܘ߳⇣؍,يوزر,1493,𝑹𝑸𝑹𝑸🇾🇪ᔆₖ,يوزر,55,0.0018,"خصم رصيد + حذف شحنة","يوزر #1250 شحن يوزر #1493, استرداد من رصيد الماس"
استرداد_يوزر,1250,‏♡⇣ࡎߺݏࡉܦ࠭ߺܘ߳⇣؍,يوزر,1493,𝑹𝑸𝑹𝑸🇾🇪ᔆₖ,يوزر,1583456,52.7819,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #1493 أرسل لـ #1493, تتبع من المدين #1250"
استرداد_يوزر,1657,عشق,يوزر,164,"وكالة العز",وكالة,3660000,122,"خصم كوينز وكالة + حذف شحنة","يوزر #1657 شحن وكالة #164 بكوينز مخالفة"
استرداد_يوزر,349,"مو شايفك",يوزر,1245,"اوســ亗ــڪارA‿ˣ ✌︎",يوزر,410000,13.6667,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #1245 أرسل لـ #1245, تتبع من المدين #349"
استرداد_يوزر,349,"مو شايفك",يوزر,456,"قلب اوســ亗ــڪارA‿ˣ ✌︎",يوزر,500000,16.6667,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #349 أرسل لـ #456, تتبع من المدين #349"
استرداد_يوزر,871,ツعٍفَآشُيَツ,يوزر,2084,عمهم🔥😎,يوزر,6,0.0002,"خصم رصيد + حذف شحنة","يوزر #871 شحن يوزر #2084, استرداد من رصيد الماس"
استرداد_يوزر,871,ツعٍفَآشُيَツ,يوزر,2084,عمهم🔥😎,يوزر,402846,13.4282,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #2084 أرسل لـ #2084, تتبع من المدين #871"
استرداد_يوزر,871,ツعٍفَآشُيَツ,يوزر,726,ﾶのん👑ﾑﾶ乇り,يوزر,402039,13.4013,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #726 أرسل لـ #726, تتبع من المدين #871"
استرداد_يوزر,871,ツعٍفَآشُيَツ,يوزر,847,"💎𖥻៹ 𝑭𝑨𝑹𝑬𝑺 ៹𖥻💎",يوزر,111898,3.7299,"خصم رصيد + حذف شحنة","يوزر #871 شحن يوزر #847, استرداد من رصيد الماس"
استرداد_يوزر,871,ツعٍفَآشُيَツ,يوزر,847,"💎𖥻៹ 𝑭𝑨𝑹𝑬𝑺 ៹𖥻💎",يوزر,282619,9.4206,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #847 أرسل لـ #847, تتبع من المدين #871"
استرداد_يوزر,871,ツعٍفَآشُيَツ,يوزر,6,"وكالة صقر للشحن",وكالة,780000,26,"خصم كوينز وكالة + حذف شحنة","يوزر #871 شحن وكالة #6 بكوينز مخالفة"
استرداد_يوزر,871,ツعٍفَآشُيَツ,يوزر,6,"وكالة صقر للشحن",وكالة,390000,13,"خصم كوينز وكالة + حذف شحنة","يوزر #871 شحن وكالة #6 بكوينز مخالفة"
استرداد_يوزر,871,ツعٍفَآشُيَツ,يوزر,6,"وكالة صقر للشحن",وكالة,360592,12.0197,"خصم كوينز وكالة + حذف شحنة","يوزر #871 شحن وكالة #6 بكوينز مخالفة"
استرداد_يوزر,342,"العاشق الولهان",يوزر,1012,المجنون,يوزر,1450000,48.3333,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #1012 أرسل لـ #1012, تتبع من المدين #342"
استرداد_يوزر,342,"العاشق الولهان",يوزر,684,"دعاء ⚡",يوزر,395648,13.1883,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #684 أرسل لـ #684, تتبع من المدين #342"
استرداد_يوزر,342,"العاشق الولهان",يوزر,342,"العاشق الولهان",يوزر,450008,15.0003,"خصم رصيد + حذف شحنة","يوزر #342 شحن يوزر #342, استرداد من رصيد الماس"
استرداد_يوزر,342,"العاشق الولهان",يوزر,342,"العاشق الولهان",يوزر,44450,1.4817,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #342 أرسل لـ #342, تتبع من المدين #342"
استرداد_يوزر,1432,"الامبر 𝓣 ᥫ᭡👑 اطور",يوزر,1354,"وكيل تاج الملوك",يوزر,4,0.0001,"خصم رصيد + حذف شحنة","يوزر #1432 شحن يوزر #1354, استرداد من رصيد الماس"
استرداد_يوزر,1432,"الامبر 𝓣 ᥫ᭡👑 اطور",يوزر,1354,"وكيل تاج الملوك",يوزر,396570,13.219,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #1354 أرسل لـ #1354, تتبع من المدين #1432"
استرداد_يوزر,1432,"الامبر 𝓣 ᥫ᭡👑 اطور",يوزر,1432,"الامبر 𝓣 ᥫ᭡👑 اطور",يوزر,25,0.0008,"خصم رصيد + حذف شحنة","يوزر #1432 شحن يوزر #1432, استرداد من رصيد الماس"
استرداد_يوزر,1432,"الامبر 𝓣 ᥫ᭡👑 اطور",يوزر,1432,"الامبر 𝓣 ᥫ᭡👑 اطور",يوزر,320081,10.6694,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #1432 أرسل لـ #1432, تتبع من المدين #1432"
استرداد_يوزر,1432,"الامبر 𝓣 ᥫ᭡👑 اطور",يوزر,6,"وكالة صقر للشحن",وكالة,1623320,54.1107,"خصم كوينز وكالة + حذف شحنة","يوزر #1432 شحن وكالة #6 بكوينز مخالفة"
استرداد_يوزر,2800,"حسين Ⓜ️🆂",يوزر,165,"هنا القاهرة للشحن",وكالة,1170000,39,"خصم كوينز وكالة + حذف شحنة","يوزر #2800 شحن وكالة #165 بكوينز مخالفة"
استرداد_يوزر,1077,"ابووطن ✈️",يوزر,164,"وكالة العز",وكالة,1170000,39,"خصم كوينز وكالة + حذف شحنة","يوزر #1077 شحن وكالة #164 بكوينز مخالفة"
استرداد_يوزر,1351,حنة,يوزر,164,"وكالة العز",وكالة,780000,26,"خصم كوينز وكالة + حذف شحنة","يوزر #1351 شحن وكالة #164 بكوينز مخالفة"
استرداد_يوزر,1351,حنة,يوزر,164,"وكالة العز",وكالة,390000,13,"خصم كوينز وكالة + حذف شحنة","يوزر #1351 شحن وكالة #164 بكوينز مخالفة"
استرداد_يوزر,2490,بدنانروء𓃠¹⁷²,يوزر,2533,شــ؏ـــور,يوزر,37349,1.245,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #2490 أرسل لـ #2533, تتبع من المدين #2490"
استرداد_يوزر,222,"الإدارة الـعـامة",يوزر,114,"وكالة ابن سوريا",وكالة,390000,13,"خصم كوينز وكالة + حذف شحنة","يوزر #222 شحن وكالة #114 بكوينز مخالفة"
استرداد_يوزر,222,"الإدارة الـعـامة",يوزر,114,"وكالة ابن سوريا",وكالة,390000,13,"خصم كوينز وكالة + حذف شحنة","يوزر #222 شحن وكالة #114 بكوينز مخالفة"
استرداد_يوزر,1378,حسناء,يوزر,164,"وكالة العز",وكالة,780000,26,"خصم كوينز وكالة + حذف شحنة","يوزر #1378 شحن وكالة #164 بكوينز مخالفة"
استرداد_يوزر,1078,"بۣۗـۙسۣۗـۙبۣۗـۙوُسۣۗـۙهۗ ۣلشحن",يوزر,164,"وكالة العز",وكالة,390000,13,"خصم كوينز وكالة + حذف شحنة","يوزر #1078 شحن وكالة #164 بكوينز مخالفة"
استرداد_يوزر,1078,"بۣۗـۙسۣۗـۙبۣۗـۙوُسۣۗـۙهۗ ۣلشحن",يوزر,164,"وكالة العز",وكالة,390000,13,"خصم كوينز وكالة + حذف شحنة","يوزر #1078 شحن وكالة #164 بكوينز مخالفة"
استرداد_يوزر,1097,Koko,يوزر,164,"وكالة العز",وكالة,780000,26,"خصم كوينز وكالة + حذف شحنة","يوزر #1097 شحن وكالة #164 بكوينز مخالفة"
استرداد_يوزر,39,"الوكيل ابن سوريا🌀🌠🌀",يوزر,39,"الوكيل ابن سوريا🌀🌠🌀",يوزر,4,0.0001,"خصم رصيد + حذف شحنة","يوزر #39 شحن يوزر #39, استرداد من رصيد الماس"
استرداد_يوزر,39,"الوكيل ابن سوريا🌀🌠🌀",يوزر,39,"الوكيل ابن سوريا🌀🌠🌀",يوزر,395156,13.1719,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #39 أرسل لـ #39, تتبع من المدين #39"
استرداد_يوزر,39,"الوكيل ابن سوريا🌀🌠🌀",يوزر,381,"ع ع ح ن🇾🇪🇾🇪",يوزر,1,0,"خصم رصيد + حذف شحنة","يوزر #39 شحن يوزر #381, استرداد من رصيد الماس"
استرداد_يوزر,39,"الوكيل ابن سوريا🌀🌠🌀",يوزر,39,"الوكيل ابن سوريا🌀🌠🌀",يوزر,179206,5.9735,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #381 أرسل لـ #39, تتبع من المدين #39"
استرداد_يوزر,39,"الوكيل ابن سوريا🌀🌠🌀",يوزر,6,"وكالة صقر للشحن",وكالة,180000,6,"خصم كوينز وكالة + حذف شحنة","يوزر #39 شحن وكالة #6 بكوينز مخالفة"
استرداد_يوزر,39,"الوكيل ابن سوريا🌀🌠🌀",يوزر,6,"وكالة صقر للشحن",وكالة,25633,0.8544,"خصم كوينز وكالة + حذف شحنة","يوزر #39 شحن وكالة #6 بكوينز مخالفة"
استرداد_يوزر,1183,ღمہشہأكہسღ,يوزر,1183,ღمہشہأكہسღ,يوزر,100000,3.3333,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #1183 أرسل لـ #1183, تتبع من المدين #1183"
استرداد_يوزر,1183,ღمہشہأكہسღ,يوزر,478,"جني حافي",يوزر,600000,20,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #478 أرسل لـ #478, تتبع من المدين #1183"
استرداد_يوزر,1183,ღمہشہأكہسღ,يوزر,1224,شـོ͟ــر͒يــ𓅖͟🇾🇪ـان,يوزر,64502,2.1501,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #1224 أرسل لـ #1224, تتبع من المدين #1183"
استرداد_يوزر,1183,ღمہشہأكہسღ,يوزر,286,"الوكيل المغامر",يوزر,23098,0.7699,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #468 أرسل لـ #286, تتبع من المدين #1183"
استرداد_يوزر,706,"الجمهورية العربية السورية",يوزر,114,"وكالة ابن سوريا",وكالة,390000,13,"خصم كوينز وكالة + حذف شحنة","يوزر #706 شحن وكالة #114 بكوينز مخالفة"
استرداد_يوزر,1207,مانجا,يوزر,164,"وكالة العز",وكالة,390000,13,"خصم كوينز وكالة + حذف شحنة","يوزر #1207 شحن وكالة #164 بكوينز مخالفة"
استرداد_يوزر,1209,تالا🦋,يوزر,114,"وكالة ابن سوريا",وكالة,390000,13,"خصم كوينز وكالة + حذف شحنة","يوزر #1209 شحن وكالة #114 بكوينز مخالفة"
